panel,lane,concurrency,throughput_tps,artifact,baseline_throughput_tps,baseline_artifact,delta_percent,status,reason
panel-1,vllm-vanilla,1,144.87935269223672,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs1/performance.jsonl,144.87935269223672,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs1/performance.jsonl,0.0,success,
panel-1,vllm-vanilla,2,272.819251340896,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs2/performance.jsonl,272.819251340896,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs2/performance.jsonl,0.0,success,
panel-1,vllm-vanilla,4,466.2050765044429,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs4/performance.jsonl,466.2050765044429,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs4/performance.jsonl,0.0,success,
panel-1,vllm-vanilla,8,692.7383094921099,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs8/performance.jsonl,692.7383094921099,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs8/performance.jsonl,0.0,success,
panel-1,vllm-vanilla,16,1004.2093630631032,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs16/performance.jsonl,1004.2093630631032,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs16/performance.jsonl,0.0,success,
panel-1,vllm-vanilla,23,897.7751811746139,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs23/performance.jsonl,897.7751811746139,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs23/performance.jsonl,0.0,success,
panel-1,sengine-vanilla,1,151.7915406410691,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs1/performance.jsonl,144.87935269223672,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs1/performance.jsonl,4.770995880631634,success,
panel-1,sengine-vanilla,2,263.655879157043,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs2/performance.jsonl,272.819251340896,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs2/performance.jsonl,-3.3587703722576023,success,
panel-1,sengine-vanilla,4,445.1236731797111,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs4/performance.jsonl,466.2050765044429,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs4/performance.jsonl,-4.521916295463358,success,
panel-1,sengine-vanilla,8,688.013496612502,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs8/performance.jsonl,692.7383094921099,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs8/performance.jsonl,-0.6820487354123661,success,
