panel,model,input_len,output_len,lane,concurrency,decode_throughput_tps,decode_tokens,decode_elapsed_s,measured_steps,artifact
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,8,943.9503213938175,6144,6.508817106951028,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-probes-20260922/sengine-snapkv/bs8/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,16,1586.255107234424,12288,7.746547162532806,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-probes-20260922/sengine-snapkv/bs16/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,32,2427.9870406962305,24576,10.121965063270181,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-probes-20260922/sengine-snapkv/bs32/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,64,3268.0748804597156,49152,15.04004706069827,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-probes-20260922/sengine-snapkv/bs64/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,71,2753.095251452647,54528,19.806070992723107,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-bs71-20260922/sengine-snapkv/bs71/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-quest,1,140.82962561888505,768,5.453398009296507,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-quest/bs1/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-quest,2,268.1676661865944,1536,5.727759881876409,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-quest/bs2/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-quest,4,506.63909869629884,3072,6.063487811945379,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-quest/bs4/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-quest,8,885.4112657146106,6144,6.939148210454732,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-quest/bs8/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-quest,16,1451.6462850433545,12288,8.464872005395591,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-quest/bs16/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-quest,20,1757.8934945749402,15360,8.73773072566837,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-quest/bs20/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-omnikv,1,151.10595344363134,768,5.082526416052133,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-omnikv/bs1/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-omnikv,2,286.2790219301299,1536,5.365394885186106,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-omnikv/bs2/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-omnikv,4,512.9473657822681,3072,5.98891856148839,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-omnikv/bs4/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-omnikv,8,941.1579510570295,6144,6.5281284539960325,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-omnikv/bs8/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-omnikv,16,1432.2799816539944,12288,8.579328174237162,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-omnikv/bs16/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-omnikv,22,1681.3200797466682,16896,10.049246543552727,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-omnikv/bs22/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vortex-quest,1,91.47409481359566,768,8.395819620462134,768,/data2/haojitai/outputs/Sparse-vLLM/vortex_glm_tp2_fix_20260910/vortex32/glm4.7-flash/vortex-quest-tp-local-v1/vortex-quest/bs1/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vortex-quest,2,174.14374800288408,1536,8.820299422834069,768,/data2/haojitai/outputs/Sparse-vLLM/vortex_glm_tp2_fix_20260910/vortex32/glm4.7-flash/vortex-quest-tp-local-v1/vortex-quest/bs2/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vortex-quest,4,317.5621461944181,3072,9.673697059974074,768,/data2/haojitai/outputs/Sparse-vLLM/vortex_glm_tp2_fix_20260910/vortex32/glm4.7-flash/vortex-quest-tp-local-v1/vortex-quest/bs4/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vortex-quest,8,590.3467168429199,6144,10.407443328993395,768,/data2/haojitai/outputs/Sparse-vLLM/vortex_glm_tp2_fix_20260910/vortex32/glm4.7-flash/vortex-quest-tp-local-v1/vortex-quest/bs8/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vortex-quest,16,952.213390366391,12288,12.904670449206606,768,/data2/haojitai/outputs/Sparse-vLLM/vortex_glm_tp2_fix_20260910/vortex32/glm4.7-flash/vortex-quest-tp-local-v1/vortex-quest/bs16/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vortex-quest,23,1222.8729954206635,17664,14.44467255892232,768,/data2/haojitai/outputs/Sparse-vLLM/vortex_glm_tp2_fix_20260910/vortex32/glm4.7-flash/vortex-quest-tp-local-v1/vortex-quest/bs23/performance.jsonl
